Description,Rule set,Rule,,,,,,Rule set,Rule
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,Optimization,LocalVariableCouldBeFinal
Local variable 'courseDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,MethodArgumentCouldBeFinal
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,AvoidInstantiatingObjectsInLoops
Local variable 'courseDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,PrematureDeclaration
Parameter 'course' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,RedundantFieldInitializer
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,Code Size,TooManyMethods
Local variable 'courseDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,ExcessivePublicCount
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,ExcessiveClassLength
Local variable 'courseruleDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,NcssTypeCount
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,TooManyFields
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,Naming,LongVariable
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,ShortVariable
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,SuspiciousConstantFieldName
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,MisleadingVariableName
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,Java Logging,AvoidPrintStackTrace
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,Empty Code,EmptyCatchBlock
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,EmptyStatementNotInLoop
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
