Description,Rule set,Rule,,,Rule set,Rule,Description
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,Optimization,AvoidInstantiatingObjectsInLoops,Avoid instantiating new objects inside loops
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,PrematureDeclaration,Avoid declaring a variable if it is unreferenced before a possible exit point.
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,RedundantFieldInitializer,Avoid using redundant field initializer for 'conn'
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,Avoid using redundant field initializer for 'rs'
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,,Avoid using redundant field initializer for 'smt'
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,Code Size,ExcessivePublicCount,This class has a bunch of public methods and attributes
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,ExcessiveClassLength,Avoid really long classes.
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,NcssTypeCount,The type has an NCSS line count of 2425
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,TooManyFields,Too many fields
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,Naming,MisleadingVariableName,Avoid naming non-fields with the prefix m_
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,Java Logging,AvoidPrintStackTrace,Avoid printStackTrace(); use a logger call instead.
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,Empty Code,EmptyCatchBlock,Avoid empty catch blocks
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,EmptyStatementNotInLoop,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
An empty statement (semicolon) not part of a loop,Empty Code,EmptyStatementNotInLoop,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,,
Avoid really long classes.,Code Size,ExcessiveClassLength,,,,,
The type has an NCSS line count of 2425,Code Size,NcssTypeCount,,,,,
